region_ori,n,mean_ami_ancs,mean_eur_ancs,mean_afr_ancs
center,114,0.7698590087719298,0.18909012280701754,0.03355286842105263
center-pacific,13,0.6102569230769231,0.3417930769230769,0.040640076923076925
north-border,908,0.579057204845815,0.3598117874449339,0.05386462004405286
north-center,194,0.6594848762886598,0.28741846907216495,0.04608438144329897
north-pacific,6,0.4930655,0.4444968333333333,0.052087666666666664
south-pacific,31,0.8111887741935484,0.14880103225806451,0.029641032258064515
south-peninsula,47,0.7316611914893617,0.203091,0.05918725531914894
