region	group1	group2	group3	group4
ORI	0.0112	0.267543	0.048235	0.673022
ORI	0.005684	0.356595	0.103721	0.533999
ORI	1e-05	0.389108	0.027535	0.583347
ORI	0.003608	0.001209	0.001632	0.993551
ORI	1e-05	0.446578	0.03876	0.514652
ORI	0.002959	0.25206	0.047365	0.697616
ORI	0.00351	0.372819	0.071013	0.552657
ORI	0.000247	0.41831	0.026321	0.555123
ORI	1e-05	0.733514	0.038207	0.228269
ORI	0.003433	0.228416	0.062445	0.705705
ORI	1e-05	0.600415	0.067671	0.331904
ORI	1e-05	0.278639	0.060848	0.660503
ORI	0.01043	0.060471	0.01322	0.915879
ORI	0.018075	0.108138	0.027212	0.846575
ORI	0.006837	0.314847	0.038708	0.639608
ORI	0.013006	0.038575	0.036316	0.912103
ORI	0.007154	0.305737	0.03947	0.647639
ORI	1e-05	0.278209	0.061851	0.659931
ORI	0.00969	0.347312	0.057979	0.585019
ORI	0.003631	0.244325	0.04362	0.708425
ORI	1e-05	0.390729	0.041071	0.56819
ORI	1e-05	0.331479	0.054897	0.613614
ORI	0.002718	0.208206	0.051279	0.737798
ORI	1e-05	0.253857	0.057645	0.688488
ORI	1e-05	0.287021	0.044853	0.668116
ORI	1e-05	0.752766	0.041235	0.205989
ORI	0.007561	0.213909	0.043109	0.735422
ORI	1e-05	0.381823	0.053019	0.565148
ORI	0.003827	0.274663	0.085752	0.635759
ORI	0.001561	0.387372	0.044832	0.566234
ORI	0.003436	9.2e-05	1e-05	0.996463
ORI	1e-05	0.615747	0.023037	0.361206
ORI	0.002612	0.246148	0.067887	0.683353
ORI	1e-05	0.473744	0.090705	0.435542
ORI	1e-05	0.569783	0.034674	0.395533
ORI	0.002416	0.349626	0.047708	0.600249
ORI	0.006119	0.00098	0.000442	0.992459
ORI	1e-05	0.342355	0.056969	0.600666
ORI	0.00948	0.227058	0.041086	0.722376
ORI	1e-05	0.219864	0.052922	0.727204
ORI	1e-05	0.341086	0.049861	0.609043
ORI	1e-05	0.616296	0.041587	0.342108
ORI	1e-05	0.244733	0.052489	0.702768
ORI	1e-05	0.324627	0.049181	0.626182
ORI	1e-05	0.333828	0.041524	0.624637
ORI	0.004244	0.321216	0.039378	0.635162
ORI	1e-05	0.365234	0.047898	0.586858
ORI	1e-05	0.288076	0.052891	0.659024
ORI	1e-05	0.424348	0.052234	0.523409
ORI	0.001216	0.18634	0.129724	0.682719
ORI	0.010263	0.214062	0.042485	0.73319
ORI	0.001646	0.439187	0.044787	0.514379
ORI	1e-05	0.243441	0.05123	0.70532
ORI	0.00991	0.298473	0.040066	0.651551
ORI	1e-05	0.344502	0.05509	0.600398
ORI	1e-05	0.31016	0.04207	0.64776
ORI	0.001897	0.330865	0.040285	0.626953
ORI	1e-05	0.38172	0.039787	0.578483
ORI	1e-05	0.337851	0.045748	0.616392
ORI	1e-05	0.499154	0.024623	0.476214
