region	group1	group2	group3	group4	group5	group6
ORI	0.005527	0.012268	0.328132	0.007586	0.009006	0.637482
ORI	0.003582	0.029485	0.308853	0.016181	1e-05	0.641889
ORI	1e-05	0.025038	0.286917	0.028436	0.000162	0.659438
ORI	0.01219	0.020947	0.525697	0.014985	1e-05	0.426171
ORI	0.00219	0.019739	0.286623	0.016918	0.012159	0.662371
ORI	0.01044	0.068994	0.402687	0.07504	0.000539	0.4423
ORI	0.01334	0.027467	0.260061	0.0155	0.002738	0.680894
ORI	1e-05	0.047887	0.250886	0.039433	0.005397	0.656388
ORI	0.002628	0.016463	0.360941	0.026039	0.004838	0.58909
ORI	1e-05	0.042433	0.307103	0.033835	1e-05	0.616609
ORI	1.2e-05	0.038989	0.320468	0.024038	1e-05	0.616483
ORI	1e-05	0.02057	0.730656	0.015766	1e-05	0.232989
ORI	1e-05	0.023156	0.616626	0.022739	0.000183	0.337286
ORI	1e-05	0.044843	0.587385	0.017161	0.001244	0.349356
ORI	0.007342	0.024181	0.26803	0.024285	1e-05	0.676152
ORI	0.008605	0.033103	0.34806	0.017881	0.002336	0.590013
ORI	0.005456	0.045301	0.250721	0.01221	0.002781	0.683531
ORI	0.003526	0.029297	0.24412	0.022669	0.001851	0.698536
ORI	0.008262	0.018949	0.307044	0.011022	1e-05	0.654713
ORI	1e-05	0.021638	0.456402	0.016174	1e-05	0.505765
ORI	0.00044	0.025553	0.41975	0.01976	1e-05	0.534487
ORI	1e-05	0.034856	0.340166	0.036735	1e-05	0.588223
ORI	0.000402	0.041232	0.43227	0.02248	0.002334	0.501282
ORI	0.002612	0.02964	0.290026	0.035176	1e-05	0.642535
ORI	0.010125	0.032846	0.290847	0.028559	1e-05	0.637613
ORI	1e-05	0.025625	0.326605	0.025819	1e-05	0.621931
ORI	1e-05	0.021453	0.202586	0.015319	0.003469	0.757162
ORI	0.008006	0.023655	0.35584	0.025927	1e-05	0.586561
ORI	0.014175	0.050459	0.517811	0.0191	1e-05	0.398445
ORI	0.002822	0.025544	0.426359	0.033323	0.002217	0.509736
ORI	1e-05	0.00075	0.113198	0.001682	0.005528	0.878833
ORI	1.2e-05	0.036659	0.33145	0.029254	1e-05	0.602616
ORI	0.006335	0.033059	0.401468	0.008365	1e-05	0.550762
ORI	0.013105	0.035923	0.305144	0.015991	0.002997	0.62684
ORI	0.005793	0.022164	0.398312	0.003639	0.010964	0.559127
ORI	0.010272	0.01747	0.240827	0.020784	0.004904	0.705742
ORI	0.004568	0.031525	0.459471	0.020664	1e-05	0.483762
ORI	1.3e-05	0.029597	0.775374	0.015585	1e-05	0.179421
ORI	1e-05	0.038745	0.285381	0.035457	1e-05	0.640397
ORI	0.005531	0.032514	0.274292	0.018323	0.011297	0.658042
ORI	0.005112	0.051176	0.36013	0.056126	0.008762	0.518693
ORI	0.009098	0.020889	0.392062	0.009912	1e-05	0.568028
ORI	1e-05	0.000911	0.003098	0.00099	0.002826	0.992165
ORI	1e-05	0.029201	0.455746	0.014242	1e-05	0.500791
ORI	0.005888	0.039943	0.259023	0.009997	0.002127	0.683022
ORI	1e-05	0.049494	0.380779	0.025192	0.008515	0.53601
ORI	0.003258	0.019154	0.424719	0.010653	0.004781	0.537434
ORI	0.003075	0.024139	0.73453	0.021029	1e-05	0.217218
ORI	0.015409	0.032505	0.228509	0.031762	1e-05	0.691805
ORI	0.010536	0.035977	0.597605	0.037426	1e-05	0.318447
ORI	0.007675	0.029155	0.282608	0.034454	1e-05	0.646098
ORI	1e-05	0.003902	0.073394	0.010063	0.007787	0.904844
ORI	0.007823	0.01812	0.115629	0.01017	0.013549	0.834709
ORI	0.017817	0.022502	0.312804	0.018694	0.003475	0.624708
ORI	0.001309	0.027417	0.048965	0.009791	0.009739	0.902778
ORI	0.001718	0.023323	0.314532	0.019149	0.009733	0.631545
ORI	0.001328	0.049534	0.287812	0.015613	1e-05	0.645703
ORI	0.010545	0.031219	0.348742	0.029915	0.009767	0.569812
ORI	0.012188	0.028994	0.247205	0.016769	0.00044	0.694404
ORI	0.015445	0.025424	0.387949	0.018537	1e-05	0.552635
ORI	0.007683	0.02711	0.335335	0.031053	1e-05	0.598809
ORI	0.008894	0.018243	0.213421	0.035085	0.000605	0.723752
ORI	0.008571	0.035018	0.257668	0.025	1e-05	0.673733
ORI	0.006408	0.027005	0.292786	0.020532	1e-05	0.653259
ORI	1.1e-05	0.023432	0.756961	0.024455	1e-05	0.195131
ORI	1e-05	0.022425	0.225957	0.022879	0.009016	0.719712
ORI	0.007113	0.025994	0.38479	0.030808	1e-05	0.551285
