region	group1	group2	group3	group4	group5	group6	group7
ORI	0.451108	0.472122	0.046783	0.012041	1e-05	1e-05	0.017926
ORI	0.251974	0.625122	0.081577	0.00692	0.002984	0.006693	0.024729
ORI	0.264316	0.68315	0.029881	0.001725	0.016027	1e-05	0.00489
ORI	0.274294	0.657848	0.047304	1e-05	1e-05	1e-05	0.020524
ORI	0.385659	0.566175	0.041743	1e-05	1e-05	0.006393	1e-05
ORI	0.539125	0.398268	0.039664	0.002619	1e-05	1e-05	0.020305
ORI	0.371189	0.546467	0.050288	0.00144	1e-05	0.00491	0.025695
ORI	0.262324	0.62482	0.084561	1e-05	0.006515	0.001998	0.019772
ORI	0.415198	0.488145	0.053365	0.013237	1e-05	1e-05	0.030035
ORI	0.461003	0.466213	0.029269	0.007059	1e-05	1e-05	0.036436
ORI	0.291173	0.607889	0.063143	0.004339	0.009127	1e-05	0.02432
ORI	0.410599	0.525902	0.034763	1e-05	0.007414	1e-05	0.021303
ORI	0.303439	0.640031	0.017941	0.005383	1e-05	0.010616	0.02258
ORI	0.289829	0.644671	0.043742	0.004521	1e-05	1e-05	0.017217
ORI	0.264377	0.660092	0.051452	1.3e-05	0.003866	1e-05	0.02019
ORI	0.478796	0.430727	0.032621	0.013244	1e-05	0.00104	0.043562
ORI	0.27337	0.66429	0.03484	0.002477	0.009176	0.004906	0.010941
ORI	0.391754	0.446288	0.140129	0.010818	1e-05	0.004201	0.0068
ORI	0.25608	0.682984	0.041065	0.013436	0.00448	1e-05	0.001944
ORI	0.249618	0.658206	0.084969	1e-05	0.005285	0.001902	1e-05
ORI	0.349051	0.591363	0.039754	0.002125	0.009203	1e-05	0.008495
ORI	0.297805	0.620439	0.074069	1e-05	1e-05	1e-05	0.007657
ORI	0.295587	0.619332	0.06097	1e-05	0.000215	0.000311	0.023577
ORI	0.698257	0.24193	0.031405	1e-05	1e-05	1e-05	0.028379
ORI	0.574667	0.34384	0.041991	1.4e-05	1e-05	0.000517	0.038961
ORI	0.580593	0.356499	0.056941	0.000171	0.002735	0.00141	0.00165
ORI	0.261402	0.679314	0.046597	0.008498	1e-05	1e-05	0.004169
ORI	0.335526	0.592381	0.048536	0.008164	0.006083	1e-05	0.0093
ORI	0.239035	0.685563	0.055617	0.005228	1e-05	0.004233	0.010313
ORI	0.242582	0.700303	0.050101	0.002822	1e-05	0.004171	1e-05
ORI	0.294403	0.657959	0.028086	0.009544	1e-05	1e-05	0.009989
ORI	0.430691	0.509438	0.034589	1e-05	0.003308	1e-05	0.021954
ORI	0.394805	0.538816	0.042265	0.002524	1e-05	1e-05	0.02157
ORI	0.323978	0.591217	0.069065	1e-05	0.001924	0.000155	0.013651
ORI	0.403179	0.505106	0.060478	0.001061	1e-05	0.00447	0.025696
ORI	0.284239	0.644638	0.062568	0.001887	0.003299	1e-05	0.003359
ORI	0.279339	0.640499	0.059369	0.01075	1e-05	0.000982	0.00905
ORI	0.302579	0.624009	0.049251	1e-05	0.002499	1e-05	0.021642
