region	group1	group2	group3	group4	group5
ORI	0.057295	0.251082	0.002779	0.683611	0.005234
ORI	0.051823	0.244261	0.001853	0.698559	0.003505
ORI	0.02986	0.307137	1e-05	0.654734	0.008259
ORI	0.037681	0.456519	1e-05	0.50578	1e-05
ORI	0.045188	0.419859	1e-05	0.534511	0.000432
ORI	0.071432	0.340293	1e-05	0.588255	1e-05
ORI	0.063556	0.432483	0.002302	0.501307	0.000352
ORI	0.064668	0.29012	1e-05	0.642559	0.002643
ORI	0.061247	0.290982	1e-05	0.637644	0.010117
ORI	0.051323	0.326697	1e-05	0.62196	1e-05
ORI	0.036634	0.202692	0.003486	0.757179	1e-05
ORI	0.049471	0.355923	1e-05	0.586584	0.008012
ORI	0.069349	0.518144	1e-05	0.398478	0.014019
ORI	0.058739	0.426419	0.002231	0.509751	0.00286
ORI	0.002371	0.113241	0.005548	0.878831	1e-05
ORI	0.065746	0.331584	1.2e-05	0.602649	1e-05
ORI	0.041287	0.401657	1e-05	0.550795	0.006251
ORI	0.051764	0.305319	0.002928	0.626909	0.01308
ORI	0.025647	0.398493	0.011022	0.559137	0.005701
ORI	0.03814	0.240872	0.004926	0.705756	0.010305
ORI	0.052024	0.459592	1e-05	0.483778	0.004596
ORI	0.045071	0.775492	1e-05	0.179416	1e-05
ORI	0.074038	0.28551	1e-05	0.640431	1e-05
ORI	0.050709	0.274449	0.011286	0.658094	0.005462
ORI	0.107085	0.360283	0.008787	0.518702	0.005143
ORI	0.03066	0.392187	1e-05	0.568066	0.009077
ORI	0.001857	0.003137	0.002855	0.992141	1e-05
ORI	0.043323	0.455859	1e-05	0.500799	1e-05
ORI	0.049739	0.25915	0.002147	0.682998	0.005967
ORI	0.074439	0.381041	0.008467	0.536043	1e-05
ORI	0.029695	0.424819	0.004772	0.537463	0.003251
ORI	0.045072	0.734613	1e-05	0.217226	0.003079
ORI	0.064113	0.228621	1e-05	0.691831	0.015425
ORI	0.07324	0.597731	1e-05	0.318466	0.010553
ORI	0.063467	0.2827	1e-05	0.646129	0.007694
ORI	0.013899	0.073413	0.007836	0.904842	1e-05
ORI	0.028172	0.115727	0.01355	0.834749	0.007802
ORI	0.041065	0.31289	0.003479	0.624738	0.017828
ORI	0.037003	0.049153	0.009768	0.902819	0.001257
ORI	0.042359	0.31462	0.009725	0.631562	0.001734
ORI	0.064924	0.288088	1e-05	0.645751	0.001227
ORI	0.060996	0.348831	0.009768	0.569832	0.010573
ORI	0.04561	0.24736	0.000331	0.694492	0.012207
ORI	0.043861	0.388028	1e-05	0.552649	0.015453
ORI	0.058042	0.335425	1e-05	0.598841	0.007682
ORI	0.053185	0.213438	0.000656	0.723746	0.008974
ORI	0.059852	0.257833	1e-05	0.673757	0.008548
ORI	0.047394	0.292902	1e-05	0.653289	0.006405
ORI	0.047797	0.757047	1e-05	0.195136	1e-05
ORI	0.04518	0.226046	0.009033	0.719731	1e-05
ORI	0.056684	0.384874	1e-05	0.551311	0.00712
ORI	0.088437	0.284458	0.006607	0.620488	1e-05
ORI	0.047949	0.390158	0.003194	0.550315	0.008384
ORI	1e-05	0.000203	0.003276	0.996501	1e-05
ORI	0.028029	0.624332	1e-05	0.347619	1e-05
ORI	0.070232	0.252217	0.001709	0.668818	0.007023
ORI	0.095728	0.480426	0.001895	0.421794	0.000156
ORI	0.038978	0.567172	1e-05	0.381104	0.012737
ORI	0.050451	0.359409	0.007118	0.583013	1e-05
ORI	0.000505	0.002187	0.005173	0.992099	3.5e-05
ORI	0.060626	0.352509	1e-05	0.586845	1e-05
ORI	0.04335	0.238082	0.011439	0.707119	1e-05
ORI	0.054807	0.23332	1e-05	0.711853	1e-05
ORI	0.05354	0.347266	1e-05	0.594796	0.004388
ORI	0.046009	0.606489	1e-05	0.327166	0.020326
ORI	0.055192	0.255621	1e-05	0.689168	1e-05
ORI	0.052211	0.330753	1e-05	0.612129	0.004898
ORI	0.044882	0.345194	1e-05	0.609904	1e-05
ORI	0.042253	0.327742	0.005868	0.618915	0.005222
ORI	0.051185	0.37317	0.002529	0.571034	0.002083
ORI	0.05583	0.296261	0.00197	0.643829	0.00211
ORI	0.055687	0.422161	1e-05	0.509296	0.012846
ORI	0.131416	0.194789	0.001391	0.669488	0.002916
ORI	0.044426	0.226289	0.011908	0.717367	1e-05
ORI	0.048048	0.438576	0.002586	0.498435	0.012356
ORI	0.053847	0.255071	1e-05	0.691063	1e-05
ORI	0.04273	0.30678	0.011902	0.635159	0.003428
ORI	0.058266	0.356124	1e-05	0.585589	1e-05
ORI	0.045052	0.315733	1e-05	0.632981	0.006224
ORI	0.0428	0.341794	0.006306	0.60909	1e-05
ORI	0.042786	0.392337	0.00454	0.560327	1e-05
ORI	0.049317	0.348976	1e-05	0.601687	1e-05
ORI	0.028849	0.505584	1e-05	0.462334	0.003223
ORI	0.060835	0.285019	1e-05	0.651822	0.002313
ORI	0.039521	0.335355	1e-05	0.605725	0.019389
ORI	0.056306	0.419911	1e-05	0.523763	1e-05
ORI	0.043687	0.289764	1e-05	0.659244	0.007296
ORI	0.021139	0.583082	1e-05	0.387846	0.007922
ORI	0.071708	0.22709	0.006741	0.679818	0.014643
ORI	0.081598	0.2665	0.005204	0.645643	0.001056
ORI	0.036819	0.498328	1e-05	0.462466	0.002377
ORI	0.053945	0.35775	0.0053	0.582995	1e-05
ORI	0.029406	0.321822	0.012186	0.624245	0.012342
ORI	0.052446	0.344676	0.004555	0.593186	0.005137
ORI	0.073921	0.27635	0.006444	0.626572	0.016712
ORI	0.055358	0.555255	1e-05	0.388821	0.000556
ORI	0.044619	0.615541	1e-05	0.330803	0.009026
ORI	0.049013	0.368864	1e-05	0.573604	0.008509
ORI	0.055787	0.288112	0.006527	0.649564	1e-05
ORI	0.087639	0.360759	0.009602	0.54199	1e-05
ORI	0.025786	0.852695	1e-05	0.121499	1e-05
ORI	0.042291	0.387839	1e-05	0.560058	0.009802
ORI	0.051479	0.724323	1e-05	0.222236	0.001951
ORI	0.070836	0.377722	0.001158	0.545465	0.00482
ORI	0.032284	0.200803	0.013531	0.735122	0.01826
ORI	0.045747	0.325132	0.000958	0.619839	0.008323
ORI	0.057317	0.346275	1e-05	0.596389	1e-05
ORI	0.059761	0.346901	8.1e-05	0.583185	0.010072
ORI	0.035458	0.749619	1e-05	0.214903	1e-05
ORI	0.058071	0.332612	0.005369	0.57607	0.027879
ORI	0.049082	0.317425	1e-05	0.633473	1e-05
ORI	0.042182	0.596805	1e-05	0.35456	0.006443
ORI	0.043848	0.397479	0.011415	0.547249	1e-05
ORI	0.07879	0.352795	1e-05	0.566317	0.002088
ORI	0.045551	0.261528	0.010791	0.669625	0.012506
ORI	0.057408	0.269524	0.000866	0.663135	0.009067
ORI	0.079638	0.293727	0.003448	0.623177	1e-05
ORI	0.045955	0.394672	1e-05	0.546106	0.013258
ORI	0.056172	0.388506	0.001723	0.551993	0.001606
ORI	0.066204	0.382557	0.011546	0.528358	0.011335
ORI	0.054914	0.42403	0.003448	0.509189	0.00842
ORI	0.071987	0.274592	0.003802	0.640015	0.009604
ORI	0.011345	0.191772	0.002532	0.788714	0.005637
ORI	0.046812	0.400893	0.001271	0.544609	0.006415
ORI	0.046946	0.509202	1e-05	0.435198	0.008644
ORI	0.010025	0.17444	1e-05	0.800425	0.0151
ORI	0.042609	0.389384	0.006319	0.561677	1e-05
ORI	0.016166	0.224623	1e-05	0.74541	0.013791
ORI	0.071068	0.305338	1e-05	0.621998	0.001585
ORI	0.046502	0.24764	0.002226	0.703621	1e-05
ORI	0.036359	0.48838	0.001869	0.466627	0.006765
ORI	0.047287	0.242152	1e-05	0.701611	0.008939
ORI	0.025926	0.457696	0.015548	0.497325	0.003505
ORI	0.00566	0.215109	0.000711	0.77441	0.00411
ORI	0.073235	0.316053	0.012454	0.582375	0.015883
ORI	0.028427	0.326977	0.000631	0.62935	0.014614
