SNPs	indels	DEL	DUP
3715049	709595	93	56
3792072	761549	93	50
3780529	763620	84	53
3791280	763703	90	42
3728034	727260	79	59
3648724	682651	105	53
3651693	684917	83	63
3505005	616858	76	55
3651349	669600	96	49
3694013	724476	96	47
3499370	612287	73	67
3840665	804302	75	49
3379534	564277	82	48
3747122	728107	93	56
3327327	537583	88	44
3858005	797506	99	48
3778131	775662	86	40
3449125	589980	93	62
3799431	755192	93	40
3748619	727252	74	61
3599322	665235	88	51
3648236	695987	86	66
3764122	749735	85	52
3522133	637631	83	55
3775875	756912	81	62
3601120	634252	79	66
3637040	681130	92	62
3737857	741113	100	55
3897935	812341	88	70
3466880	589279	78	52
3442162	583711	74	66
3798393	761057	80	57
3725934	708253	81	66
3821458	801399	77	54
3399256	556368	83	61
3480980	608790	75	77
3594939	660396	85	59
3948618	797543	90	46
3495286	609941	78	54
3743075	721799	81	56
3687284	707245	85	50
3677084	703803	74	72
3695092	713323	82	78
3568639	633725	81	44
3637968	679092	78	55
3809513	775200	69	54
3781571	749735	77	52
3523178	614157	87	59
3679992	705837	85	55
3387248	553114	83	45
3756039	766973	87	58
3546374	631588	82	45
3816442	740140	88	50
3620314	694505	93	60
3837262	795218	81	50
3646648	670336	82	54
3739103	739556	90	49
3670772	697097	83	62
3696086	744087	99	45
3458585	575461	94	48
3852557	805580	74	52
3826227	793713	85	47
3383087	560669	88	57
3463507	657428	93	47
3546204	620887	88	54
3833433	768638	76	66
3868386	820873	70	73
3676421	698186	90	52
3444990	620711	96	60
3781482	774175	96	63
3881941	806771	86	63
3443842	649767	81	44
3783901	747054	78	55
3828015	800397	90	42
3809280	830697	100	54
3145367	489725	85	60
3806583	784914	92	54
3344044	558103	94	51
3683326	712303	92	47
3894099	837806	97	41
3780133	768700	81	43
3785059	758504	86	39
3710198	717424	80	75
3627896	681013	97	46
3940022	810968	96	51
3645051	695112	83	53
3787907	789304	86	48
3283366	525386	97	54
3796820	765137	103	58
3790616	769670	88	53
3322648	542193	86	58
3527996	659271	103	54
3080320	495523	80	59
3891517	821794	91	46
3473616	617167	82	65
3470925	598032	92	47
3521617	616610	80	53
3352622	545838	87	53
3454123	604326	72	70
3572654	704623	86	44
3183455	534209	85	56
3545778	630697	87	46
3725182	725501	82	43
3655071	697246	96	57
3365472	601770	81	46
3408652	610300	92	45
3411938	579504	98	48
3254674	558181	92	48
3685901	753347	92	42
3715285	814624	93	58
3541475	691352	76	47
3516654	632995	84	60
3646319	696593	72	61
3819743	799627	77	64
3603857	688447	101	62
3356766	568029	88	66
3695693	719781	85	61
3313020	554174	76	62
3800163	760676	88	41
3647891	699580	87	46
3610767	666856	85	69
3796840	784263	78	64
3512901	629519	101	43
3601590	668647	101	51
3345337	551196	83	43
3171867	486090	93	69
3588438	695601	89	44
3695204	717983	97	48
3798905	779866	82	60
3494319	611745	79	48
3838537	823060	92	57
3518258	626291	100	68
3645194	696385	86	61
3759912	745485	88	49
3889711	827736	91	39
3697728	716826	79	64
3794150	770752	87	47
3868206	820983	82	61
3083980	459183	81	55
3814755	776249	87	46
3865602	826089	90	49
3438132	592794	88	42
3309071	551604	91	58
3554398	643912	89	72
3765128	759947	91	43
3834863	789477	93	51
3671758	705626	86	63
3707993	716834	96	56
3588028	663214	98	45
3650126	683857	78	45
3338250	549653	88	63
3577095	655501	84	41
3675810	717994	91	37
3831713	790707	88	41
3913114	839528	93	43
3516942	620229	82	47
3866935	807368	89	62
3642788	686940	85	44
3771648	765414	89	55
