PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	tag	run_clean
-0.0107	-0.0264	-7e-4	0.0209	3e-4	-0.011	-0.0025	0.0028	0.0051	0.0148	EUR	0_rand_intrain
-0.0108	-0.0259	-4e-4	0.0206	-1e-4	-0.0122	2e-4	-0.001	0.0067	0.0149	EUR	0_rand_intrain
-0.0107	-0.0273	-5e-4	0.022	0.0028	-0.0097	-3e-4	-5e-4	0.0096	0.0109	EUR	0_rand_intrain
-0.011	-0.0262	-0.0011	0.0208	-3e-4	-0.0121	9e-4	0.0042	0.0172	0.0134	EUR	0_rand_intrain
-0.0106	-0.0264	-5e-4	0.0226	0.001	-0.0135	-0.001	0.0024	0.0049	0.0126	EUR	0_rand_intrain
-0.0107	-0.0258	-0.0013	0.0204	8e-4	-0.0105	6e-4	0.0027	0.0098	0.0161	EUR	0_rand_intrain
-0.0106	-0.0266	-7e-4	0.0213	0	-0.0081	-3e-4	0.002	0.0148	0.0157	EUR	0_rand_intrain
-0.0108	-0.0269	-8e-4	0.0217	3e-4	-0.012	-6e-4	0.0022	0.01	0.0091	EUR	0_rand_intrain
-0.0118	-0.0221	-0.003	0.0202	0.018	-0.0883	-6e-4	-0.013	-0.0129	-0.0198	EUR	0_rand_intrain
-0.0117	-0.0223	-0.0025	0.0197	0.0158	-0.0808	-0.0018	-0.013	-0.0178	-0.0238	EUR	0_rand_intrain
-0.0114	-0.0241	-0.0025	0.0215	0.0116	-0.0631	-0.0024	-0.0065	-0.0078	-0.0083	EUR	0_rand_intrain
-0.0116	-0.0221	-0.0024	0.0204	0.0162	-0.0812	-0.0018	-0.0146	-0.0158	-0.0143	EUR	0_rand_intrain
-0.0116	-0.0214	-0.0023	0.0198	0.017	-0.0804	-0.0027	-0.0129	-0.0156	-0.0248	EUR	0_rand_intrain
-0.0116	-0.0228	-0.0015	0.0202	0.0162	-0.074	-0.0021	-0.0087	-0.0135	-0.0138	EUR	0_rand_intrain
-0.0113	-0.0222	-0.0021	0.0195	0.0157	-0.0772	-0.001	-0.0114	-0.0145	-0.0083	EUR	0_rand_intrain
-0.0116	-0.0224	-0.0018	0.0205	0.0129	-0.0724	-3e-4	-0.0097	-0.0112	-0.0171	EUR	0_rand_intrain
-0.0105	-0.0229	-3e-4	0.0195	0.0121	-0.0469	-9e-4	-0.0082	-0.009	-0.0122	EUR	0_rand_intrain
-0.0113	-0.0217	-0.0028	0.0191	0.017	-0.0816	-0.0024	-0.0124	-0.0186	-0.0147	EUR	0_rand_intrain
-0.0115	-0.0225	-0.0015	0.019	0.016	-0.0817	-0.003	-0.012	-0.0151	-0.0187	EUR	0_rand_intrain
-0.0115	-0.0217	-0.0015	0.0196	0.0172	-0.0848	2e-4	-0.012	-0.018	-0.0142	EUR	0_rand_intrain
-0.0115	-0.0224	-0.0025	0.02	0.016	-0.0841	-0.0031	-0.0135	-0.0242	-0.0188	EUR	0_rand_intrain
-0.0113	-0.0217	-0.0029	0.0203	0.0179	-0.0896	-0.0013	-0.0149	-0.0227	-0.0218	EUR	0_rand_intrain
-0.0114	-0.0229	-0.0018	0.0193	0.0173	-0.0733	-0.0021	-0.0101	-0.0158	-0.0176	EUR	0_rand_intrain
-0.0115	-0.0222	-0.0019	0.0205	0.0134	-0.07	-6e-4	-0.0081	-0.0089	-0.0103	EUR	0_rand_intrain
-0.0112	-0.0236	-0.0012	0.0195	0.0108	-0.0632	-6e-4	-0.0077	-0.0074	-0.0171	EUR	0_rand_intrain
-0.0107	-0.0263	-6e-4	0.0205	-5e-4	-0.0053	-0.0017	0.0027	0.0107	0.0166	EUR	0_rand_intrain
-0.0106	-0.0273	-4e-4	0.0202	0.0023	-0.0077	-0.0027	0.0035	0.0164	0.0113	EUR	0_rand_intrain
