feno,phenotype (spanish),case_v,case_nv,ctrl_v,ctrl_nv,fisher_pval,fisher_qval,Logitconst_beta,Logitconst_pval,Logitconst_qval,LogitEBVpres_beta,LogitEBVpres_pval,LogitEBVpres_qval,Logitsex_beta,Logitsex_pval,Logitsex_qval,Logitage_beta,Logitage_pval,Logitage_qval,Logitsocio_beta,Logitsocio_pval,Logitsocio_qval,Controls EBVpos,Cases EBVpos,Dif Cases-Controls
REPRODUCTIVE_HEALTH.PREGNANCY_PREECLAMPSIA_ECLAMPSIA,SALUD_REPRODUCTIVA.EMBARAZO_PREECLAMSIA_ECLAMPSIA,5,67,48,599,1,1,-0.53,0.178,0.209,0.215,0.667,1,,,,-0.038,0.0000273,0.0000965,0.044,0.685,0.856,7.42%,6.94%,-0.005
REPRODUCTIVE_HEALTH.PREGNANCY_OBSTRUCTED_LABOR,SALUD_REPRODUCTIVA.EMBARAZO_PARTO_OBSTRUIDO,2,28,51,636,1,1,-3.83,0.00000000731,0.0000000226,-0.279,0.711,1,,,,0.014,0.274,0.365,-0.265,0.0888,0.253,7.42%,6.67%,-0.008
REPRODUCTIVE_HEALTH.PREGNANCY_BAD_BABY_POSITION,SALUD_REPRODUCTIVA.EMBARAZO_MALA_POSIC_BEBE,5,65,47,601,1,1,-2.338,0.000000049,0.000000136,0.001,0.999,1,,,,0.002,0.809,0.868,0.099,0.329,0.596,7.25%,7.14%,-0.001
REPRODUCTIVE_HEALTH.COMPLICATIONS_PREGNANCY,SALUD_REPRODUCTIVA.COMPLICACIONES_EMBARAZO,0,12,53,652,1,1,-2.443,0.0067,0.00937,-11.045,0.97,1,,,,-0.036,0.0842,0.135,0.177,0.468,0.698,7.52%,0.00%,-0.075
REPRODUCTIVE_HEALTH.FIBROIDS,SALUD_REPRODUCTIVA.MIOMAS_UTERINOS,4,63,49,647,1,1,-2.971,1.38E-11,5.58E-11,-0.258,0.634,1,,,,0.013,0.118,0.18,0.05,0.621,0.812,7.04%,5.97%,-0.011
REPRODUCTIVE_HEALTH.ABNORMAL_UTERINE_BLEEDING,SALUD_REPRODUCTIVA.SANGRADO_UTERINO_ANORMAL,2,30,51,679,1,1,-4.097,1.88E-10,6.79E-10,-0.223,0.766,1,,,,0.019,0.102,0.159,0.107,0.44,0.675,6.99%,6.25%,-0.007
REPRODUCTIVE_HEALTH.SEX_TRANS_DIS,SALUD_REPRODUCTIVA.ENF_TRANS_SEX,1,24,74,1023,1,1,-4.171,2.98E-10,0.00000000105,-0.491,0.636,1,1.466,0.00057,0.00247,-0.005,0.664,0.736,-0.043,0.782,0.909,6.75%,4.00%,-0.027
REPRODUCTIVE_HEALTH.HUMAN_PAPILLOMA,SALUD_REPRODUCTIVA.PAPILOMA_HUMANO,0,6,1,19,1,1,0.795,0.675,0.71,-25.493,1,1,-2.226,0.115,0.244,-0.033,0.524,0.614,0.842,0.152,0.37,5.00%,0.00%,-0.05
FRACTURES.FRACTURES_5_YEARS,FRACTURAS.FRACTURAS_5_ANIOS,6,91,69,957,1,1,-3.077,2.15E-17,2.14E-16,-0.182,0.681,1,0.329,0.14,0.282,0.012,0.0679,0.114,-0.002,0.982,0.998,6.73%,6.19%,-0.005
FRACTURES.FRACTURE_5Y_ARM,FRACTURAS.FRACTURA_5Y_BRAZO,1,25,5,70,1,1,-0.531,0.514,0.554,-0.652,0.562,1,-0.071,0.88,0.947,-0.009,0.541,0.632,-0.156,0.434,0.672,6.67%,3.85%,-0.028
FRACTURES.FRACTURE_5Y_LEG,FRACTURAS.FRACTURA_5Y_PIERNA,1,22,5,71,1,1,-4.263,0.000211,0.000358,-0.172,0.882,1,0.975,0.0569,0.142,0.048,0.00957,0.0204,0.055,0.799,0.918,6.58%,4.35%,-0.022
DISEASE_FAMILY_MEMBERS.MOTHER_TRIGLYCERIDES,ENFERMEDAD_FAMILIARES.MADRE_TRIGLICERIDOS,8,116,63,881,1,1,-0.831,0.00476,0.00675,0.192,0.629,1,-0.563,0.0196,0.0585,-0.024,0.000129,0.000388,0.172,0.0266,0.101,6.67%,6.45%,-0.002
DISEASE_FAMILY_MEMBERS.MOTHER_OTHER_DISEASE,ENFERMEDAD_FAMILIARES.MADRE_OTRA_ENFERMEDAD,6,92,62,873,1,1,-2.78,4.92E-15,3.42E-14,-0.186,0.678,1,-0.596,0.0234,0.0676,0.014,0.0433,0.0784,0.103,0.205,0.449,6.63%,6.12%,-0.005
