feno,phenotype (spanish),case_v,case_nv,ctrl_v,ctrl_nv,fisher_pval,fisher_qval,Logitconst_beta,Logitconst_pval,Logitconst_qval,LogitEBVpres_beta,LogitEBVpres_pval,LogitEBVpres_qval,Logitsex_beta,Logitsex_pval,Logitsex_qval,Logitage_beta,Logitage_pval,Logitage_qval,Logitsocio_beta,Logitsocio_pval,Logitsocio_qval,Controls EBVpos,Cases EBVpos,Dif Cases-Controls
VISUAL_HEALTH.DIFFICULTY_SEEING_GLASSES.above_1,SALUD_VISUAL.DIFICULTAD_VER_ANTEOJOS.above_1,0,11,42,538,1,1,-3.653,0.00116,0.00178,-19.258,0.999,1,0.75,0.228,0.392,-0.01,0.646,0.723,-0.125,0.605,0.804,7.24%,0.00%,-0.072
HEARING_HEALTH.DENTAL_BLEEDING_GUMS.above_1,SALUD_DENTAL.DENTAL_SANGRADO_ENCIAS.above_1,4,66,71,982,1,1,-0.701,0.0509,0.0641,0.223,0.681,1,-0.171,0.559,0.732,-0.045,0.000000154,0.000000832,-0.219,0.046,0.156,6.74%,5.71%,-0.01
MEDICAL_RECORD.ACNE_PLACES.O,HISTORIA_MEDICA.ACNE_LUGARES.O,0,8,75,1035,1,1,-4.414,0.0000679,0.000124,-8.561,0.939,1,-0.321,0.7,0.828,-0.018,0.433,0.526,0.657,0.00643,0.0334,6.76%,0.00%,-0.068
MEDICAL_RECORD.ACNE_PLACES.X,HISTORIA_MEDICA.ACNE_LUGARES.X,0,9,75,1034,1,1,-3.273,0.00138,0.00209,-18.425,0.999,1,1.115,0.104,0.228,-0.053,0.0288,0.0547,0.462,0.0535,0.174,6.76%,0.00%,-0.068
VISUAL_HEALTH.MACULAR_DEGENERATION.3,SALUD_VISUAL.DEGENERACION_MACULAR.3,0,6,75,1042,1,1,-6.374,0.000024,0.0000462,16.038,0.282,1,2.475,0.0247,0.0705,-0.005,0.848,0.9,-0.004,0.991,1,6.71%,0.00%,-0.067
MEDICAL_RECORD.PRE_DIABETES_AGE.above_59,HISTORIA_MEDICA.PRE_DIABETES_EDAD.above_59,1,15,5,54,1,1,-32.628,0.00377,0.00542,0.204,0.946,1,0.806,0.474,0.655,0.47,0.00373,0.00857,-0.106,0.723,0.878,8.47%,6.25%,-0.022
REPRODUCTIVE_HEALTH.ABORTIONS.above_1,SALUD_REPRODUCTIVA.ABORTOS.above_1,3,50,50,680,1,1,-3.306,7.83E-12,3.34E-11,-0.394,0.525,1,,,,0.014,0.134,0.201,-0.28,0.019,0.0761,6.85%,5.66%,-0.012
VACCINATION.YEARS_VAC_SEASONAL_INFLUENZA.above_3,VACUNACION.ANIOS_VAC_INFLUE_EST.above_3,27,357,31,410,1,1,-1.178,0.000000491,0.00000121,-0.15,0.59,1,-0.215,0.185,0.348,0.022,0.00000156,0.00000725,0.195,0.000726,0.00661,7.03%,7.03%,0
MEDICAL_RECORD.PREGNANCY_HIGH_PRESSURE,HISTORIA_MEDICA.EMBARAZADA_PRESION_ALTA,2,30,17,177,1,1,3.096,0.000933,0.00145,1.001,0.242,1,,,,-0.096,0.000000562,0.0000028,0.208,0.243,0.501,8.76%,6.25%,-0.025
MEDICAL_RECORD.HEPATITIS_JAUNDICE,HISTORIA_MEDICA.HEPATITIS_ICTERICIA,1,16,74,1031,1,1,-4.335,0.000000106,0.00000028,-0.125,0.905,1,-1.23,0.105,0.23,0.007,0.659,0.734,0.257,0.16,0.383,6.70%,5.88%,-0.008
MEDICAL_RECORD.CHOLECYSTITIS_CHOLELITHIASIS,HISTORIA_MEDICA.COLECISTITIS_COLELITIASIS,1,14,72,1030,1,1,-4.023,0.00000116,0.00000264,0.019,0.986,1,-1.054,0.169,0.329,-0.001,0.95,0.969,-0.047,0.824,0.927,6.53%,6.67%,0.001
MEDICAL_RECORD.ABDOMINAL_DISTENSION,HISTORIA_MEDICA.DISTENCION_ABDOMINAL,8,114,67,929,1,1,-1.157,0.0001,0.000179,0.086,0.828,1,-1.104,0.0000703,0.000341,-0.015,0.0157,0.0316,-0.016,0.841,0.938,6.73%,6.56%,-0.002
MEDICAL_RECORD.COLON_POLYPS,HISTORIA_MEDICA.POLIPOS_COLON,0,6,75,1039,1,1,-8.272,0.0000104,0.0000212,-15.533,0.996,1,-0.144,0.87,0.94,0.057,0.0581,0.0999,-0.024,0.935,0.974,6.73%,0.00%,-0.067
MEDICAL_RECORD.PAPULES,HISTORIA_MEDICA.PAPULAS,8,111,66,937,1,1,-2.548,5.41E-15,3.74E-14,-0.042,0.915,1,-0.482,0.0372,0.101,0.011,0.084,0.135,0.115,0.123,0.317,6.58%,6.72%,0.001
HEARING_HEALTH.AUDITORY_PROSTHESIS,SALUD_AUDITIVA.PROTESIS_AUDITIVA,0,4,75,1043,1,1,-8.25,0.000115,0.000204,-22.316,1,1,-0.479,0.682,0.82,0.05,0.152,0.224,0.351,0.289,0.552,6.71%,0.00%,-0.067
REPRODUCTIVE_HEALTH.PREGNANCY_COMPLICATIONS_ANOTHER_DIS,SALUD_REPRODUCTIVA.EMBARAZO_COMPL_OTRA_ENF,1,13,52,653,1,1,-2.209,0.00758,0.0105,0.265,0.803,1,,,,-0.039,0.0441,0.0797,0.047,0.842,0.938,7.38%,7.14%,-0.002
FRACTURES.FRACTURE_5Y_ANKLE,FRACTURAS.FRACTURA_5Y_TOBILLO,1,25,5,69,1,1,-2.609,0.00513,0.00725,-0.326,0.774,1,0.17,0.722,0.841,0.027,0.084,0.135,0.422,0.036,0.129,6.76%,3.85%,-0.029
