run	pop	proportion
_200	AFR	0.061387
_200	EUR	0.37899
_200	MX-AMR	0.540094
_200	EAS	0.002438
_200	SAS	0.017091
_200	AFR	0.010678
_200	EUR	0.097002
_200	MX-AMR	0.884762
_200	EAS	0.007547
_200	SAS	1e-5
_200	AFR	0.047458
_200	EUR	0.282447
_200	MX-AMR	0.658014
_200	EAS	0.008746
_200	SAS	0.003334
_200	AFR	0.059692
_200	EUR	0.293394
_200	MX-AMR	0.625678
_200	EAS	0.021226
_200	SAS	1e-5
_200	AFR	0.068202
_200	EUR	0.28449
_200	MX-AMR	0.623861
_200	EAS	0.016598
_200	SAS	0.00685
_200	AFR	0.04773
_200	EUR	0.262421
_200	MX-AMR	0.682302
_200	EAS	0.006714
_200	SAS	8.33e-4
_200	AFR	0.035903
_200	EUR	0.341099
_200	MX-AMR	0.603049
_200	EAS	0.007322
_200	SAS	0.012626
_200	AFR	0.054917
_200	EUR	0.475629
_200	MX-AMR	0.468868
_200	EAS	5.76e-4
_200	SAS	1e-5
_200	AFR	0.049607
_200	EUR	0.387052
_200	MX-AMR	0.547074
_200	EAS	0.002565
_200	SAS	0.013702
_200	AFR	0.05077
_200	EUR	0.516126
_200	MX-AMR	0.424617
_200	EAS	1e-5
_200	SAS	0.008477
_200	AFR	0.013117
_200	EUR	0.159289
_200	MX-AMR	0.811263
_200	EAS	0.006707
_200	SAS	0.009624
_200	AFR	0.073618
_200	EUR	0.329575
_200	MX-AMR	0.591073
_200	EAS	0.005723
_200	SAS	1e-5
_200	AFR	0.101588
_200	EUR	0.552486
_200	MX-AMR	0.338081
_200	EAS	1e-5
_200	SAS	0.007835
_200	AFR	0.053832
_200	EUR	0.583346
_200	MX-AMR	0.343979
_200	EAS	0.004803
_200	SAS	0.01404
_200	AFR	0.068536
_200	EUR	0.346164
_200	MX-AMR	0.564547
_200	EAS	0.006739
_200	SAS	0.014014
_200	AFR	0.001062
_200	EUR	0.007801
_200	MX-AMR	0.980516
_200	EAS	0.009814
_200	SAS	8.07e-4
_200	AFR	0.038119
_200	EUR	0.419006
_200	MX-AMR	0.542856
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.033535
_200	EUR	0.435677
_200	MX-AMR	0.520691
_200	EAS	0.001299
_200	SAS	0.008798
_200	AFR	0.02254
_200	EUR	0.071513
_200	MX-AMR	0.903012
_200	EAS	8.73e-4
_200	SAS	0.002063
_200	AFR	0.057865
_200	EUR	0.317983
_200	MX-AMR	0.608724
_200	EAS	0.005182
_200	SAS	0.010247
_200	AFR	0.067682
_200	EUR	0.392367
_200	MX-AMR	0.529597
_200	EAS	0.003212
_200	SAS	0.007142
_200	AFR	0.067131
_200	EUR	0.271146
_200	MX-AMR	0.634278
_200	EAS	0.005956
_200	SAS	0.021489
_200	AFR	0.072215
_200	EUR	0.431731
_200	MX-AMR	0.496034
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.037483
_200	EUR	0.780474
_200	MX-AMR	0.182024
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.046491
_200	EUR	0.388751
_200	MX-AMR	0.554429
_200	EAS	0.010319
_200	SAS	1e-5
_200	AFR	0.060679
_200	EUR	0.368339
_200	MX-AMR	0.568076
_200	EAS	1e-5
_200	SAS	0.002896
_200	AFR	0.064691
_200	EUR	0.386441
_200	MX-AMR	0.535289
_200	EAS	0.011059
_200	SAS	0.00252
_200	AFR	0.050063
_200	EUR	0.334955
_200	MX-AMR	0.609327
_200	EAS	1e-5
_200	SAS	0.005645
_200	AFR	0.009902
_200	EUR	0.026857
_200	MX-AMR	0.956872
_200	EAS	0.006359
_200	SAS	1e-5
_200	AFR	0.081476
_200	EUR	0.41515
_200	MX-AMR	0.492888
_200	EAS	1e-5
_200	SAS	0.010476
_200	AFR	0.070261
_200	EUR	0.290493
_200	MX-AMR	0.626101
_200	EAS	0.011701
_200	SAS	0.001444
_200	AFR	0.039458
_200	EUR	0.299041
_200	MX-AMR	0.645379
_200	EAS	1e-5
_200	SAS	0.016112
_200	AFR	0.040545
_200	EUR	0.555778
_200	MX-AMR	0.40356
_200	EAS	1e-5
_200	SAS	1.07e-4
_200	AFR	0.071606
_200	EUR	0.23438
_200	MX-AMR	0.671161
_200	EAS	0.006907
_200	SAS	0.015947
_200	AFR	0.06477
_200	EUR	0.293051
_200	MX-AMR	0.631859
_200	EAS	0.01031
_200	SAS	1e-5
_200	AFR	0.051859
_200	EUR	0.568308
_200	MX-AMR	0.372538
_200	EAS	1e-5
_200	SAS	0.007286
_200	AFR	0.06389
_200	EUR	0.364916
_200	MX-AMR	0.554682
_200	EAS	0.001217
_200	SAS	0.015295
_200	AFR	0.065287
_200	EUR	0.414254
_200	MX-AMR	0.506693
_200	EAS	1e-5
_200	SAS	0.013756000000000001
_200	AFR	0.048093
_200	EUR	0.391661
_200	MX-AMR	0.537369
_200	EAS	0.010861
_200	SAS	0.012015
_200	AFR	0.049316
_200	EUR	0.252395
_200	MX-AMR	0.691637
_200	EAS	0.002243
_200	SAS	0.004409
_200	AFR	0.05538
_200	EUR	0.287329
_200	MX-AMR	0.647053
_200	EAS	0.001002
_200	SAS	0.009236
_200	AFR	0.073576
_200	EUR	0.427868
_200	MX-AMR	0.491956
_200	EAS	0.004701
_200	SAS	0.001899
_200	AFR	0.05172
_200	EUR	0.359663
_200	MX-AMR	0.570004
_200	EAS	0.014133
_200	SAS	0.004479
_200	AFR	0.047147
_200	EUR	0.263411
_200	MX-AMR	0.67346
_200	EAS	1e-5
_200	SAS	0.015972
_200	AFR	0.055933
_200	EUR	0.35871
_200	MX-AMR	0.585287
_200	EAS	6e-5
_200	SAS	1e-5
_200	AFR	0.059269
_200	EUR	0.39826
_200	MX-AMR	0.535421
_200	EAS	1e-5
_200	SAS	0.00704
_200	AFR	0.044432
_200	EUR	0.524381
_200	MX-AMR	0.414441
_200	EAS	1e-5
_200	SAS	0.016736
_200	AFR	0.009168
_200	EUR	0.03678
_200	MX-AMR	0.950029
_200	EAS	0.004013
_200	SAS	1e-5
_200	AFR	0.050132
_200	EUR	0.382447
_200	MX-AMR	0.55861
_200	EAS	1e-5
_200	SAS	0.008801
_200	AFR	0.03423
_200	EUR	0.516356
_200	MX-AMR	0.448496
_200	EAS	1e-5
_200	SAS	9.08e-4
_200	AFR	0.079612
_200	EUR	0.457296
_200	MX-AMR	0.456872
_200	EAS	0.002476
_200	SAS	0.003745
_200	AFR	0.086836
_200	EUR	0.152084
_200	MX-AMR	0.748252
_200	EAS	0.003972
_200	SAS	0.008856
_200	AFR	0.049778
_200	EUR	0.330426
_200	MX-AMR	0.604861
_200	EAS	1e-5
_200	SAS	0.014926
_200	AFR	0.060996
_200	EUR	0.50039
_200	MX-AMR	0.435159
_200	EAS	0.003444
_200	SAS	1e-5
_200	AFR	0.067032
_200	EUR	0.294866
_200	MX-AMR	0.63563
_200	EAS	0.002462
_200	SAS	1e-5
_200	AFR	0.051155
_200	EUR	0.40477
_200	MX-AMR	0.540918
_200	EAS	0.003147
_200	SAS	1e-5
_200	AFR	0.032994
_200	EUR	0.293596
_200	MX-AMR	0.668982
_200	EAS	1e-5
_200	SAS	0.004418
_200	AFR	0.067816
_200	EUR	0.236987
_200	MX-AMR	0.691843
_200	EAS	1e-5
_200	SAS	0.003344
_200	AFR	0.0332
_200	EUR	0.765417
_200	MX-AMR	0.201363
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.066093
_200	EUR	0.264492
_200	MX-AMR	0.65745
_200	EAS	0.006202
_200	SAS	0.005764
_200	AFR	0.032401
_200	EUR	0.278661
_200	MX-AMR	0.682008
_200	EAS	0.003645
_200	SAS	0.003285
_200	AFR	0.052502
_200	EUR	0.444401
_200	MX-AMR	0.492958
_200	EAS	1e-5
_200	SAS	0.01013
_200	AFR	0.048047
_200	EUR	0.498308
_200	MX-AMR	0.452218
_200	EAS	1e-5
_200	SAS	0.001417
_200	AFR	0.061146
_200	EUR	0.397662
_200	MX-AMR	0.531816
_200	EAS	0.005293
_200	SAS	0.004084
_200	AFR	0.050361
_200	EUR	0.52248000000000006
_200	MX-AMR	0.422569
_200	EAS	6.79e-4
_200	SAS	0.003911
_200	AFR	0.072553
_200	EUR	0.369502
_200	MX-AMR	0.549437
_200	EAS	1e-5
_200	SAS	0.008498
_200	AFR	1e-5
_200	EUR	0.085693
_200	MX-AMR	0.914277
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.057865
_200	EUR	0.371703
_200	MX-AMR	0.558339
_200	EAS	1e-5
_200	SAS	0.012084
_200	AFR	0.067733
_200	EUR	0.293559
_200	MX-AMR	0.621833
_200	EAS	0.016865
_200	SAS	1e-5
_200	AFR	0.082781
_200	EUR	0.34629
_200	MX-AMR	0.570909
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.062249
_200	EUR	0.315031
_200	MX-AMR	0.6227
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.067745
_200	EUR	0.388375
_200	MX-AMR	0.530144
_200	EAS	0.003679
_200	SAS	0.010057
_200	AFR	0.08192
_200	EUR	0.171368
_200	MX-AMR	0.740487
_200	EAS	1e-5
_200	SAS	0.006215
_200	AFR	0.054617
_200	EUR	0.238394
_200	MX-AMR	0.692157
_200	EAS	5.2e-4
_200	SAS	0.014312
_200	AFR	0.083303
_200	EUR	0.251183
_200	MX-AMR	0.658357
_200	EAS	0.007147
_200	SAS	1e-5
_200	AFR	0.061191
_200	EUR	0.245342
_200	MX-AMR	0.690872
_200	EAS	1e-5
_200	SAS	0.002586
_200	AFR	0.061946
_200	EUR	0.437569
_200	MX-AMR	0.500464
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.050629
_200	EUR	0.328974
_200	MX-AMR	0.609185
_200	EAS	1e-5
_200	SAS	0.011202
_200	AFR	0.060971
_200	EUR	0.29353
_200	MX-AMR	0.635545
_200	EAS	0.002036
_200	SAS	0.007917
_200	AFR	0.007361
_200	EUR	0.188635
_200	MX-AMR	0.792958
_200	EAS	0.011035
_200	SAS	1e-5
_200	AFR	0.036145
_200	EUR	0.32041
_200	MX-AMR	0.633864
_200	EAS	0.0024
_200	SAS	0.007181
_200	AFR	0.061615
_200	EUR	0.44414
_200	MX-AMR	0.493201
_200	EAS	0.001034
_200	SAS	1e-5
_200	AFR	0.034514
_200	EUR	0.201609
_200	MX-AMR	0.752536
_200	EAS	0.011331
_200	SAS	1e-5
_200	AFR	0.037363
_200	EUR	0.492144
_200	MX-AMR	0.466399
_200	EAS	0.004084
_200	SAS	1e-5
_200	AFR	0.045188
_200	EUR	0.271362
_200	MX-AMR	0.666548
_200	EAS	0.005582
_200	SAS	0.01132
_200	AFR	0.050858
_200	EUR	0.280457
_200	MX-AMR	0.657521
_200	EAS	0.001513
_200	SAS	0.009651
_200	AFR	0.057832
_200	EUR	0.474798
_200	MX-AMR	0.462797
_200	EAS	9.43e-4
_200	SAS	0.003629
_200	AFR	0.043702
_200	EUR	0.283088
_200	MX-AMR	0.664812
_200	EAS	0.008388
_200	SAS	1e-5
_200	AFR	0.050786
_200	EUR	0.384925
_200	MX-AMR	0.564043
_200	EAS	1e-5
_200	SAS	2.35e-4
_200	AFR	0.08567
_200	EUR	0.351121
_200	MX-AMR	0.563185
_200	EAS	1.4e-5
_200	SAS	1e-5
_200	AFR	0.044441
_200	EUR	0.333702
_200	MX-AMR	0.621149
_200	EAS	6.97e-4
_200	SAS	1e-5
_200	AFR	0.034487
_200	EUR	0.57015
_200	MX-AMR	0.394869
_200	EAS	4.84e-4
_200	SAS	1e-5
_200	AFR	0.050015
_200	EUR	0.346998
_200	MX-AMR	0.601457
_200	EAS	1e-5
_200	SAS	0.00152
_200	AFR	0.054682
_200	EUR	0.373421
_200	MX-AMR	0.5718
_200	EAS	8.7e-5
_200	SAS	1e-5
_200	AFR	0.052768
_200	EUR	0.319024
_200	MX-AMR	0.618793
_200	EAS	5.85e-4
_200	SAS	0.00883
_200	AFR	0.062214
_200	EUR	0.405383
_200	MX-AMR	0.532383
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.051597
_200	EUR	0.407126
_200	MX-AMR	0.541256
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.07832
_200	EUR	0.304072
_200	MX-AMR	0.614516
_200	EAS	0.003082
_200	SAS	1e-5
_200	AFR	0.050056
_200	EUR	0.053966
_200	MX-AMR	0.871178
_200	EAS	0.001238
_200	SAS	0.023562
_200	AFR	0.13322
_200	EUR	0.266416
_200	MX-AMR	0.591284
_200	EAS	1e-5
_200	SAS	0.00907
_200	AFR	0.06299
_200	EUR	0.372263
_200	MX-AMR	0.564727
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.08011
_200	EUR	0.320169
_200	MX-AMR	0.583482
_200	EAS	0.014436
_200	SAS	0.001803
_200	AFR	0.041477
_200	EUR	0.349163
_200	MX-AMR	0.601386
_200	EAS	0.007963
_200	SAS	1e-5
_200	AFR	0.067075
_200	EUR	0.318138
_200	MX-AMR	0.609095
_200	EAS	1e-5
_200	SAS	0.005682
_200	AFR	0.054205
_200	EUR	0.290734
_200	MX-AMR	0.65504
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.071971
_200	EUR	0.295566
_200	MX-AMR	0.628144
_200	EAS	0.004308
_200	SAS	1e-5
_200	AFR	0.078373
_200	EUR	0.513429
_200	MX-AMR	0.404187
_200	EAS	1.69e-4
_200	SAS	0.003842
_200	AFR	0.055957
_200	EUR	0.351081
_200	MX-AMR	0.581576
_200	EAS	0.00921
_200	SAS	0.002175
_200	AFR	0.056494
_200	EUR	0.295891
_200	MX-AMR	0.636225
_200	EAS	0.004771
_200	SAS	0.006619
_200	AFR	0.033058
_200	EUR	0.232379
_200	MX-AMR	0.726772
_200	EAS	0.007391
_200	SAS	4e-4
_200	AFR	0.063569
_200	EUR	0.341615
_200	MX-AMR	0.594796
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.046428
_200	EUR	0.316913
_200	MX-AMR	0.636174
_200	EAS	4.75e-4
_200	SAS	1e-5
_200	AFR	0.051288
_200	EUR	0.347658
_200	MX-AMR	0.592189
_200	EAS	0.00823
_200	SAS	6.34e-4
_200	AFR	0.070369
_200	EUR	0.536083
_200	MX-AMR	0.36712
_200	EAS	0.0169
_200	SAS	0.009527
_200	AFR	0.053044
_200	EUR	0.284644
_200	MX-AMR	0.649077
_200	EAS	0.001865
_200	SAS	0.01137
_200	AFR	0.052204
_200	EUR	0.400793
_200	MX-AMR	0.546227
_200	EAS	7.67e-4
_200	SAS	1e-5
_200	AFR	0.035721
_200	EUR	0.251007
_200	MX-AMR	0.708562
_200	EAS	0.004701
_200	SAS	1e-5
_200	AFR	0.037945
_200	EUR	0.233375
_200	MX-AMR	0.720323
_200	EAS	0.008347
_200	SAS	1e-5
_200	AFR	0.042996
_200	EUR	0.325398
_200	MX-AMR	0.628215
_200	EAS	1e-5
_200	SAS	0.003381
_200	AFR	1e-5
_200	EUR	0.041704
_200	MX-AMR	0.95205
_200	EAS	0.006226
_200	SAS	1e-5
_200	AFR	0.063283
_200	EUR	0.414388
_200	MX-AMR	0.521842
_200	EAS	1e-5
_200	SAS	4.77e-4
_200	AFR	0.071004
_200	EUR	0.349179
_200	MX-AMR	0.56213900000000006
_200	EAS	0.001947
_200	SAS	0.01573
_200	AFR	0.027082
_200	EUR	0.169422
_200	MX-AMR	0.789944
_200	EAS	0.013542
_200	SAS	1e-5
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.052205
_200	EUR	0.330627
_200	MX-AMR	0.609599
_200	EAS	0.007559
_200	SAS	1e-5
_200	AFR	0.055811
_200	EUR	0.346677
_200	MX-AMR	0.591481
_200	EAS	1e-5
_200	SAS	0.006021
_200	AFR	0.048959
_200	EUR	0.367955
_200	MX-AMR	0.576361
_200	EAS	1e-5
_200	SAS	0.006715
_200	AFR	0.07637
_200	EUR	0.289937
_200	MX-AMR	0.633673
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.041562
_200	EUR	0.251754
_200	MX-AMR	0.706663
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.042683
_200	EUR	0.454874
_200	MX-AMR	0.502424
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	1e-5
_200	EUR	0.056546
_200	MX-AMR	0.939584
_200	EAS	0.003849
_200	SAS	1e-5
_200	AFR	1e-5
_200	EUR	1.8e-5
_200	MX-AMR	0.999952
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.116747
_200	EUR	0.137265
_200	MX-AMR	0.745966
_200	EAS	1.1e-5
_200	SAS	1e-5
_200	AFR	0.065201
_200	EUR	0.332768
_200	MX-AMR	0.54892
_200	EAS	0.04237
_200	SAS	0.010741
_200	AFR	0.053308
_200	EUR	0.494736
_200	MX-AMR	0.451931
_200	EAS	1.5e-5
_200	SAS	1e-5
_200	AFR	0.028539
_200	EUR	0.257856
_200	MX-AMR	0.713585
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.064308
_200	EUR	0.319824
_200	MX-AMR	0.607114
_200	EAS	1e-5
_200	SAS	0.008745
_200	AFR	0.06487
_200	EUR	0.343641
_200	MX-AMR	0.590919
_200	EAS	1e-5
_200	SAS	5.59e-4
_200	AFR	0.021119
_200	EUR	0.192643
_200	MX-AMR	0.779822
_200	EAS	0.006406
_200	SAS	1e-5
_200	AFR	0.090931
_200	EUR	0.414016
_200	MX-AMR	0.491375
_200	EAS	0.003667
_200	SAS	1e-5
_200	AFR	0.042095
_200	EUR	0.240766
_200	MX-AMR	0.704009
_200	EAS	1e-5
_200	SAS	0.013119
_200	AFR	0.046072
_200	EUR	0.371432
_200	MX-AMR	0.579246
_200	EAS	0.00324
_200	SAS	1e-5
_200	AFR	0.054934
_200	EUR	0.317649
_200	MX-AMR	0.610289
_200	EAS	0.017118
_200	SAS	1e-5
_200	AFR	0.051419
_200	EUR	0.297256
_200	MX-AMR	0.651304
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.073284
_200	EUR	0.410641
_200	MX-AMR	0.513263
_200	EAS	1e-5
_200	SAS	0.002802
_200	AFR	0.055172
_200	EUR	0.272945
_200	MX-AMR	0.665364
_200	EAS	0.003282
_200	SAS	0.003237
_200	AFR	0.05234
_200	EUR	0.242586
_200	MX-AMR	0.692048
_200	EAS	1e-5
_200	SAS	0.013016
_200	AFR	0.040428
_200	EUR	0.611971
_200	MX-AMR	0.347582
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.047849
_200	EUR	0.496519
_200	MX-AMR	0.455612
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.063761
_200	EUR	0.257985
_200	MX-AMR	0.674074
_200	EAS	1e-5
_200	SAS	0.00417
_200	AFR	0.099664
_200	EUR	0.219733
_200	MX-AMR	0.658551
_200	EAS	0.002928
_200	SAS	0.019124
_200	AFR	0.045155
_200	EUR	0.326754
_200	MX-AMR	0.617567
_200	EAS	0.010514
_200	SAS	1e-5
_200	AFR	0.110371
_200	EUR	0.375197
_200	MX-AMR	0.514412
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.036647
_200	EUR	0.487811
_200	MX-AMR	0.469793
_200	EAS	0.001973
_200	SAS	0.003775
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.100337
_200	EUR	0.37994
_200	MX-AMR	0.512841
_200	EAS	0.006183
_200	SAS	6.99e-4
_200	AFR	0.044337
_200	EUR	0.30235
_200	MX-AMR	0.64913
_200	EAS	0.004173
_200	SAS	1e-5
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.039611
_200	EUR	0.289154
_200	MX-AMR	0.668241
_200	EAS	0.002983
_200	SAS	1e-5
_200	AFR	0.011258
_200	EUR	1e-5
_200	MX-AMR	0.988712
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.041241
_200	EUR	0.57479
_200	MX-AMR	0.365351
_200	EAS	1e-5
_200	SAS	0.018607
_200	AFR	0.043602
_200	EUR	0.433212
_200	MX-AMR	0.518977
_200	EAS	1e-5
_200	SAS	0.004199
_200	AFR	0.022187
_200	EUR	0.237992
_200	MX-AMR	0.733996
_200	EAS	1e-5
_200	SAS	0.005815
_200	AFR	0.024262
_200	EUR	0.340983
_200	MX-AMR	0.616375
_200	EAS	0.006408
_200	SAS	0.011972
_200	AFR	0.128267
_200	EUR	0.478963
_200	MX-AMR	0.39275
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.051107
_200	EUR	0.389942
_200	MX-AMR	0.556552
_200	EAS	2.9e-4
_200	SAS	0.002109
_200	AFR	0.126675
_200	EUR	0.373165
_200	MX-AMR	0.48447
_200	EAS	1e-5
_200	SAS	0.01568
_200	AFR	0.062284
_200	EUR	0.273827
_200	MX-AMR	0.653202
_200	EAS	0.00819
_200	SAS	0.002497
_200	AFR	0.105885
_200	EUR	0.248743
_200	MX-AMR	0.645305
_200	EAS	1e-5
_200	SAS	5.6e-5
_200	AFR	0.040419
_200	EUR	0.238313
_200	MX-AMR	0.701661
_200	EAS	0.001085
_200	SAS	0.018521
_200	AFR	0.060299
_200	EUR	0.275653
_200	MX-AMR	0.643239
_200	EAS	0.004882
_200	SAS	0.015926
_200	AFR	0.069452
_200	EUR	0.235544
_200	MX-AMR	0.679935
_200	EAS	0.013956
_200	SAS	0.001113
_200	AFR	0.06297
_200	EUR	0.298872
_200	MX-AMR	0.635748
_200	EAS	6.58e-4
_200	SAS	0.001751
_200	AFR	0.062428
_200	EUR	0.261446
_200	MX-AMR	0.663814
_200	EAS	0.006873
_200	SAS	0.005439
_200	AFR	0.02564
_200	EUR	0.540744
_200	MX-AMR	0.430492
_200	EAS	1e-5
_200	SAS	0.003114
_200	AFR	0.045028
_200	EUR	0.260615
_200	MX-AMR	0.693727
_200	EAS	1e-5
_200	SAS	6.2e-4
_200	AFR	0.029324
_200	EUR	0.241119
_200	MX-AMR	0.724469
_200	EAS	0.005078
_200	SAS	1e-5
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.081264
_200	EUR	0.346718
_200	MX-AMR	0.571999
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.044304
_200	EUR	0.305715
_200	MX-AMR	0.636041
_200	EAS	1e-5
_200	SAS	0.01393
_200	AFR	0.069727
_200	EUR	0.417461
_200	MX-AMR	0.507653
_200	EAS	1e-5
_200	SAS	0.005148
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.040218
_200	EUR	0.441319
_200	MX-AMR	0.518444
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.043237
_200	EUR	0.41741
_200	MX-AMR	0.526857
_200	EAS	0.005732
_200	SAS	0.006764
_200	AFR	0.043467
_200	EUR	0.603425
_200	MX-AMR	0.350639
_200	EAS	0.001216
_200	SAS	0.001252
_200	AFR	1e-5
_200	EUR	0.105434
_200	MX-AMR	0.893292
_200	EAS	0.001253
_200	SAS	1e-5
_200	AFR	0.057949
_200	EUR	0.390253
_200	MX-AMR	0.551686
_200	EAS	1e-5
_200	SAS	1.02e-4
_200	AFR	0.060125
_200	EUR	0.370584
_200	MX-AMR	0.564564
_200	EAS	1e-5
_200	SAS	0.004717
_200	AFR	0.060928
_200	EUR	0.333737
_200	MX-AMR	0.591577
_200	EAS	1e-5
_200	SAS	0.013748
_200	AFR	0.019017
_200	EUR	0.194151
_200	MX-AMR	0.772063
_200	EAS	0.004767
_200	SAS	0.010002
_200	AFR	0.054774
_200	EUR	0.394945
_200	MX-AMR	0.545846
_200	EAS	1e-5
_200	SAS	0.004425
_200	AFR	0.137348
_200	EUR	0.445877
_200	MX-AMR	0.416755
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.051565
_200	EUR	0.361418
_200	MX-AMR	0.586996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.038115
_200	EUR	0.304123
_200	MX-AMR	0.652246
_200	EAS	1e-5
_200	SAS	0.005506
_200	AFR	0.064589
_200	EUR	0.376141
_200	MX-AMR	0.557166
_200	EAS	0.002094
_200	SAS	1e-5
_200	AFR	0.065043
_200	EUR	0.266755
_200	MX-AMR	0.667279
_200	EAS	9.12e-4
_200	SAS	1e-5
_200	AFR	0.122108
_200	EUR	0.063621
_200	MX-AMR	0.760799
_200	EAS	0.043243
_200	SAS	0.010228
_200	AFR	0.026223
_200	EUR	0.312002
_200	MX-AMR	0.65725
_200	EAS	1e-5
_200	SAS	0.004516
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.055954
_200	EUR	0.355135
_200	MX-AMR	0.584613
_200	EAS	1e-5
_200	SAS	0.004289
_200	AFR	0.054679
_200	EUR	0.350185
_200	MX-AMR	0.582783
_200	EAS	1e-5
_200	SAS	0.012343
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.999951
_200	EAS	1.9e-5
_200	SAS	1e-5
_200	AFR	0.054798
_200	EUR	0.26246
_200	MX-AMR	0.67861
_200	EAS	0.0026
_200	SAS	0.001532
_200	AFR	0.057916
_200	EUR	0.273183
_200	MX-AMR	0.660055
_200	EAS	1e-5
_200	SAS	0.008836
_200	AFR	0.046529
_200	EUR	0.505976
_200	MX-AMR	0.447474
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.069203
_200	EUR	0.504047
_200	MX-AMR	0.414833
_200	EAS	1e-5
_200	SAS	0.011907
_200	AFR	1e-5
_200	EUR	0.106481
_200	MX-AMR	0.891553
_200	EAS	0.001946
_200	SAS	1e-5
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.014163
_200	EUR	0.075088
_200	MX-AMR	0.90157
_200	EAS	0.009169
_200	SAS	1e-5
_200	AFR	0.045773
_200	EUR	0.054845
_200	MX-AMR	0.886222
_200	EAS	0.006822
_200	SAS	0.006338
_200	AFR	0.033766
_200	EUR	0.416771
_200	MX-AMR	0.539244
_200	EAS	1e-5
_200	SAS	0.010209
_200	AFR	0.052928
_200	EUR	0.460231
_200	MX-AMR	0.483304
_200	EAS	1e-5
_200	SAS	0.003526
_200	AFR	0.057064
_200	EUR	0.374823
_200	MX-AMR	0.568094
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.039876
_200	EUR	0.438229
_200	MX-AMR	0.519243
_200	EAS	0.002642
_200	SAS	1e-5
_200	AFR	0.028292
_200	EUR	0.297938
_200	MX-AMR	0.67092
_200	EAS	0.002841
_200	SAS	1e-5
_200	AFR	1e-5
_200	EUR	1e-5
_200	MX-AMR	0.99996
_200	EAS	1e-5
_200	SAS	1e-5
_200	AFR	0.049827
_200	EUR	0.25799
_200	MX-AMR	0.683497
_200	EAS	0.008676
